z	from_state	to_state	rate
0	2s2,2p2 1D	2s2,2p2 3P	0.00029305900000000003
0	2s2,2p2 1S	2s2,2p2 3P	0.002322
0	2s2,2p2 1S	2s2,2p2 1D	0.6
0	2s1,2p3 5S	2s2,2p2 3P	30.0
0	2s2,2p1,3s1 3P	2s2,2p2 3P	115666666.66666667
0	2s2,2p1,3s1 3P	2s2,2p2 1D	41000.0
0	2s2,2p1,3s1 3P	2s2,2p2 1S	5800.0
0	2s2,2p1,3s1 1P	2s2,2p2 3P	94000.0
0	2s2,2p1,3s1 1P	2s2,2p2 1D	339000000.0
0	2s2,2p1,3s1 1P	2s2,2p2 1S	28000000.0
0	2s1,2p3 3D	2s2,2p2 3P	39000000.0
0	2s2,2p1,3p1 1P	2s2,2p1,3s1 3P	27200.26
0	2s2,2p1,3p1 1P	2s2,2p1,3s1 1P	8600000.0
0	2s2,2p1,3p1 3D	2s2,2p1,3s1 3P	6133333.333333333
0	2s2,2p1,3p1 3D	2s2,2p1,3s1 1P	15000.0
0	2s2,2p1,3p1 3D	2s1,2p3 3D	11800.0
0	2s2,2p1,3p1 3S	2s2,2p1,3s1 3P	24200000.0
0	2s2,2p1,3p1 3S	2s2,2p1,3s1 1P	6400.0
0	2s2,2p1,3p1 3P	2s2,2p1,3s1 3P	10000000.0
0	2s2,2p1,3p1 3P	2s2,2p1,3s1 1P	866.6666666666666
0	2s2,2p1,3p1 3P	2s1,2p3 3D	133333.33333333334
0	2s2,2p1,3p1 1D	2s2,2p1,3s1 3P	5500.0
0	2s2,2p1,3p1 1D	2s2,2p1,3s1 1P	29100000.0
0	2s2,2p1,3p1 1S	2s2,2p1,3s1 3P	5000.0
0	2s2,2p1,3p1 1S	2s2,2p1,3s1 1P	35100000.0
0	2s1,2p3 3P	2s2,2p2 3P	72666666.66666667
0	2s1,2p3 3P	2s2,2p1,3p1 3D	166666.66666666666
0	2s1,2p3 3P	2s2,2p1,3p1 3S	15000.0
0	2s1,2p3 3P	2s2,2p1,3p1 3P	230000.0
0	2s2,2p1,3d1 1D	2s2,2p2 3P	215000.0
0	2s2,2p1,3d1 1D	2s2,2p2 1D	35000000.0
0	2s2,2p1,3d1 1D	2s2,2p1,3p1 1P	20300000.0
0	2s2,2p1,3d1 1D	2s2,2p1,3p1 3D	21700.0
0	2s2,2p1,3d1 1D	2s2,2p1,3p1 1D	1880000.0
0	2s2,2p1,3d1 3F	2s2,2p2 3P	5500000.0
0	2s2,2p1,3d1 3F	2s2,2p2 1D	27000.0
0	2s2,2p1,3d1 3F	2s2,2p1,3p1 3D	8420000.0
0	2s2,2p1,3d1 3F	2s2,2p1,3p1 3S	5600.0
0	2s2,2p1,3d1 3F	2s2,2p1,3p1 3P	240000.0
