iz	from_state	to_state	A	B	C	D	E	F	X_1	P	Q	V_if	fit_eqn
0	2s22p2 3P	2s22p2 1D	1.277	1.30E+01	-3.31E+01	6.36E+01	-4.62E+01	4.00E-02	0.00E+00	0.00E+00	0.00E+00	1.26	7
0	2s22p2 3P	2s22p2 1S	1.598E-01	2.836E+00	-9.813	-1.012E+01	1.223E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.68	10
0	2s22p2 3P	2s2p3 5S	-2.30E+00	8.92E+00	-2.87E+01	4.56E+01	-2.43E+01	1.32E-01	0.00E+00	0.00E+00	0.00E+00	4.18	11
0	2s22p2 3P	2s22p3s 3P	-6.117	2.99E+00	4.148	0	1.22E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.48	6
0	2s22p2 3P	2s22p3s 1P	2.423	7.59E-01	-6.486	3.14E+00	-2.07E+01	6.74E-01	0.00E+00	0.00E+00	0.00E+00	7.68	11
0	2s22p2 3P	2s2p3 3D	1.31E+01	-3.05E+01	1.84E+01	0.00E+00	1.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.94	6
0	2s22p2 3P	2s22p3p 1P	1.91E+00	-6.10E-01	-2.34E+00	-3.09E+02	7.45E+02	1.491	0.00E+00	0.00E+00	0.00E+00	8.53	7
0	2s22p2 3P	2s22p3p 3D	9.75E-01	1.908	2.161	-4.891	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.64	10
0	2s22p2 3P	2s22p3p 3S	1.89E-03	2.26E-01	8.84E-01	-1.031	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.77	10
0	2s22p2 3P	2s22p3p 3P	7.728	8.66E-01	-1.64E+01	7.754	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.85	6
0	2s22p2 3P	2s22p3p 1D	-1.389	1.062	-3.74E-01	4.786	-4.126	2.61E-01	0.00E+00	0.00E+00	0.00E+00	9	7
0	2s22p2 3P	2s22p3p 1S	3.57E-02	5.08E-01	-7.06E-01	1.463	-2.569	4.10E-01	0.00E+00	0.00E+00	0.00E+00	9.2	7
0	2s22p2 3P	2s2p3 3P	1.15E+01	-2.48E+01	1.28E+01	0	6.328	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.33	6
0	2s22p2 3P	2s22p3d 1D	5.75E-02	-1.44E-01	1.793	-1.719	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.63	6
0	2s22p2 3P	2s22p3d 3F	-3.067	2.352	-3.127	-9.123	1.66E+01	1.48E-01	0.00E+00	0.00E+00	0.00E+00	9.69	11
0	2s22p2 3P	2s22p3d 3D	4.081	-9.274	5.423	0	4.97	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.71	6
0	2s22p2 3P	2s22p3d 1F	1.183	-8.80E-01	7.839	-1.72E+01	-8.15E-01	5.66E-01	0.00E+00	0.00E+00	0.00E+00	9.73	11
0	2s22p2 3P	2s22p3d 3P	1.247	-5.247	3.983	0	3.876	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.83	6
0	2s22p2 3P	2s2p3 1D	-3.82	2.082	2.801	-9.506	1.55E+01	2.94E-01	0.00E+00	0.00E+00	0.00E+00	12.2	7
0	2s22p2 3P	2s2p3 3S	8.80E-01	-9.63	8.179	0	1.20E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	13.1	6
0	2s22p2 3P	2s2p3 1P	2.975	-4.065	-2.94E-01	7.36E+01	-3.36E+02	1.4	0.00E+00	0.00E+00	0.00E+00	14.9	11
0	2s22p2 1D	2s22p2 1S	2.029	-1.09E+01	2.05E+01	-1.22E+01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.42	10
0	2s22p2 1D	2s2p3 3D	1.00E+02	-5.44E+01	-1.26E+02	1.86E+02	-9.36E+02	6.90E-01	0.00E+00	0.00E+00	0.00E+00	6.68	7
0	2s22p2 1D	2s22p3s 3P	9.576	-6.86E-01	2.121	3.983	-7.38E+01	4.75E-01	0.00E+00	0.00E+00	0.00E+00	6.22	7
0	2s22p2 1D	2s22p3s 1P	-1.795	-1.134	2.995	0	4.794	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.42	6
1	2s22p 2P	2s2p2 4P	4.36E-01	1.627	-2.923	1.09E+01	-6.58	5.77E-02	0.00E+00	0.00E+00	0.00E+00	4.74	7
1	2s22p 2P	2s2p2 2D	-2.155	1.37E+01	-6.562	0	1.018	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.27	6
1	2s22p 2P	2s2p2 2S	8.57E-01	2.08E-01	7.06E-01	0	4.136	0.00E+00	0.00E+00	0.00E+00	0.00E+00	12	6
1	2s22p 2P	2s2p2 2P	-6.88E-01	4.106	3.44E-01	0	1.63E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	13.7	6
1	2s22p 2P	2s23s 2S	-9.84E-01	2.983	-9.98E-01	0	8.91E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	14.4	6
1	2s22p 2P	2s23p 2P	1.678	-2.238	4.829	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	16.3	6
1	2s22p 2P	2s23d 2D	-1.703	2.675	1.165	0	5.791	0.00E+00	0.00E+00	0.00E+00	0.00E+00	18	6
2	2s2 1S	2s2p 3P	-4.02E-02	2.914	-4.344	2.121	0	0.00E+00	2	5.43E-01	3.45E-01	6.5	6
2	2s2 1S	2s2p 1P	6.26E-01	3.044	5.38E-01	0	4.364	0.00E+00	0.00E+00	0.00E+00	0.00E+00	12.7	6
2	2s2 1S	2p2 3P	-5.73E-03	8.47E-02	-1.68E-01	1.31E-01	0	0.00E+00	2	5.39E-03	7.17E-03	17.2	6
2	2s2 1S	2p2 1D	2.92E-01	1.66E-01	-3.45E-01	3.72E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	18.2	6
2	2s2 1S	2p2 1S	2.09E-02	2.29E-01	-4.27E-01	2.14E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	22.9	6
2	2s2 1S	2s3s 3S	3.91E-03	2.74E-01	1.12	1.11	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	29.5	6
2	2s2 1S	2s3s 1S	4.26E-01	4.35E-01	-2.28	1.76	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	30.6	6
2	2s2 1S	2s3p 1P	-1.14E-01	-5.23E-01	8.11E-01	0	3.73E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	32.1	6
2	2s2 1S	2s3p 3P	-2.19E-02	3.66E-01	-1.03	8.24E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	32.2	6
2	2s2 1S	2s3d 3D	4.19E-02	6.49E-02	1.10E-02	1.05E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	33.5	6
2	2s2 1S	2s3d 1D	7.33E-01	5.40E-02	-2.11	1.49	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	34.3	6
2	2s2p 3P	2p2 3P	9.842	-8.66	2.18E+01	0	1.631	0.00E+00	0.00E+00	0.00E+00	0.00E+00	10.6	6
2	2s2p 3P	2p2 1D	-1.82E-01	4.49	-4.889	2.056	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	11.7	6
2	2s2p 3P	2p2 1S	3.28E-04	1.68E-01	2.78E-01	-4.52E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	16.5	6
2	2s2p 3P	2s3s 1S	-1.20E-02	1.31	-4.03	3.59	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	24.1	6
2	2s2p 3P	2s3p 1P	-1.31E-02	1.58	-4.8	4.27	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	25.6	6
2	2s2p 3P	2s3p 3P	1.98	1.49E+01	-4.33E+01	3.17E+01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	25.7	6
2	2s2p 3P	2s3d 3D	-2.90E-01	2.09	7.11	0	1.01E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	27	6
2	2s2p 3P	2s3s 1D	9.84E-03	5.08E-01	-7.04E-01	9.55E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	27.8	6
2	2s2p 1P	2p2 3P	-8.62E-03	4.141	-7.089	3.824	0	0.00E+00	1.85	7.07E-01	2.90E-01	4.3	6
2	2s2p 1P	2p2 1D	3.762	9.351	-3.004	0	7.32	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.3	6
2	2s2p 1P	2p2 1S	3.032	-2.375	2.675	0	2.991	0.00E+00	0.00E+00	0.00E+00	0.00E+00	10.1	6
2	2p2 3P	2p2 1D	1.925	1.44E+01	-3.56E+01	2.73E+01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.01	6
2	2p2 3P	2p2 1S	4.32E-02	1.004	-1.037	3.63E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.8	6
2	2p2 1D	2p2 1S	8.95E-01	-8.61E-01	1.007	-4.14E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.79	6
3	1s22s 2S	1s22p 2P	4.744	4.44	5.97E-01	0	4.519	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8	6
