type	from_iz	from_state	to_iz	to_state	source
ionization	0	2s22p2 3P	1	2s22p 2P	SunoKato
ionization	1	2s22p 2P	2	2s2 1S	SunoKato
ionization	2	2s2 1S	3	1s22s 2S	SunoKato
ionization	3	1s22s 2S	4	1s2 1S	SunoKato
ionization	4	1s2 1S	5	1s 2S	SunoKato
ionization	5	1s 2S	6	1S	SunoKato
radrec	1	2s22p 2P	0	2s22p2 3P	ADAS
radrec	2	2s2 1S	1	2s22p 2P	ADAS
radrec	3	1s22s 2S	2	2s2 1S	ADAS
radrec	4	1s2 1S	3	1s22s 2S	ADAS
radrec	5	1s 2S	4	1s2 1S	ADAS
radrec	6	1S	5	1s 2S	ADAS
excitation	0	2s22p2 3P	0	2s22p2 1D	SunoKato
excitation	0	2s22p2 3P	0	2s22p2 1S	SunoKato
excitation	0	2s22p2 3P	0	2s2p3 5S	SunoKato
excitation	0	2s22p2 3P	0	2s22p3s 3P	SunoKato
excitation	0	2s22p2 3P	0	2s22p3s 1P	SunoKato
excitation	0	2s22p2 3P	0	2s2p3 3D	SunoKato
excitation	0	2s22p2 3P	0	2s22p3p 1P	SunoKato
excitation	0	2s22p2 3P	0	2s22p3p 3D	SunoKato
excitation	0	2s22p2 3P	0	2s22p3p 3S	SunoKato
excitation	0	2s22p2 3P	0	2s22p3p 3P	SunoKato
excitation	0	2s22p2 3P	0	2s22p3p 1D	SunoKato
excitation	0	2s22p2 3P	0	2s22p3p 1S	SunoKato
excitation	0	2s22p2 3P	0	2s2p3 3P	SunoKato
excitation	0	2s22p2 3P	0	2s22p3d 1D	SunoKato
excitation	0	2s22p2 3P	0	2s22p3d 3F	SunoKato
excitation	0	2s22p2 3P	0	2s22p3d 3D	SunoKato
excitation	0	2s22p2 3P	0	2s22p3d 1F	SunoKato
excitation	0	2s22p2 3P	0	2s22p3d 3P	SunoKato
excitation	0	2s22p2 3P	0	2s2p3 1D	SunoKato
excitation	0	2s22p2 3P	0	2s2p3 3S	SunoKato
excitation	0	2s22p2 3P	0	2s2p3 1P	SunoKato
excitation	0	2s22p2 1D	0	2s22p2 1S	SunoKato
excitation	0	2s22p2 1D	0	2s2p3 3D	SunoKato
excitation	0	2s22p2 1D	0	2s22p3s 3P	SunoKato
excitation	0	2s22p2 1D	0	2s22p3s 1P	SunoKato
excitation	1	2s22p 2P	1	2s2p2 4P	SunoKato
excitation	1	2s22p 2P	1	2s2p2 2D	SunoKato
excitation	1	2s22p 2P	1	2s2p2 2S	SunoKato
excitation	1	2s22p 2P	1	2s2p2 2P	SunoKato
excitation	1	2s22p 2P	1	2s23s 2S	SunoKato
excitation	1	2s22p 2P	1	2s23p 2P	SunoKato
excitation	1	2s22p 2P	1	2s23d 2D	SunoKato
excitation	2	2s2 1S	2	2s2p 3P	SunoKato
excitation	2	2s2 1S	2	2s2p 1P	SunoKato
excitation	2	2s2 1S	2	2p2 3P	SunoKato
excitation	2	2s2 1S	2	2p2 1D	SunoKato
excitation	2	2s2 1S	2	2p2 1S	SunoKato
