SEQ='C '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  25455599.3   NPRNTI= 2   NPRNTF= 7
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    96253.6 
     3          2S1 2P2             (2)2( 4.5)   183497.2*
     4          2S1 2P2             (2)0( 0.5)   233303.7*
     5          2S1 2P2             (2)1( 2.5)   258371.3*
     6          2P3                 (4)0( 1.5)   318512.0*
     7          2P3                 (2)2( 4.5)   368318.5*

   LS RESOLVED TERM INDEXING            BWNR=  26466007.3   NTRM= 394
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P2             (3)1( 4.0)        0.0 
     2  9999    2S2 2P2             (1)2( 2.0)    30726.5 
     3  9999    2S2 2P2             (1)0( 0.0)    64745.1 
     4  9999    2S1 2P3             (5)0( 2.0)    88887.3 
     5  9999    2S1 2P3             (3)2( 7.0)   176677.2 
     6  9999    2S1 2P3             (3)1( 4.0)   208501.1 
     7  9999    2S1 2P3             (3)0( 1.0)   279830.4 
     8  9999    2S1 2P3             (1)1( 1.0)   303972.6 
     9  9999    2P4                 (3)1( 4.0)   414807.4 
    10  9999    2P4                 (1)2( 2.0)   447728.6 
    11  9999    2P4                 (1)0( 0.0)   515765.8 
    12     1    2S2 2P1 3S1         (3)1( 4.0)   590273.9 
    13     1    2S2 2P1 3S1         (1)1( 1.0)   598818.4 
    14     1    2S2 2P1 3P1         (1)1( 1.0)   628982.9 
    15     1    2S2 2P1 3P1         (3)2( 7.0)   632475.7 
    16     1    2S2 2P1 3P1         (3)0( 1.0)   637697.7 
    17     1    2S2 2P1 3P1         (3)1( 4.0)   653179.0 
    18     1    2S2 2P1 3P1         (1)2( 2.0)   663037.0 
    19     1    2S2 2P1 3P1         (1)0( 0.0)   679119.1 
    20     2    2S1 2P2 3S1         (5)1( 7.0)   683685.5 
    21     1    2S2 2P1 3D1         (1)2( 2.0)   685197.8 
    22     1    2S2 2P1 3D1         (3)3(10.0)   686777.5 
    23     1    2S2 2P1 3D1         (3)2( 7.0)   692179.5 
    24     1    2S2 2P1 3D1         (3)1( 4.0)   695400.5 
    25     1    2S2 2P1 3D1         (1)3( 3.0)   705700.0 
    26     1    2S2 2P1 3D1         (1)1( 1.0)   705865.7 
    27     2    2S1 2P2 3S1         (3)1( 4.0)   710105.2 
    28     2    2S1 2P2 3P1         (5)2(12.0)   727295.6 
    29     2    2S1 2P2 3P1         (3)0( 1.0)   729188.1 
    30     2    2S1 2P2 3P1         (5)1( 7.0)   730958.7 
    31     2    2S1 2P2 3P1         (3)2( 7.0)   749647.9 
    32     2    2S1 2P2 3P1         (3)1( 4.0)   757014.9 
    33     2    2S1 2P2 3P1         (5)0( 2.0)   758751.2 
    34     2    2S1 2P2 3D1         (5)3(17.0)   779210.3 
    35     2    2S1 2P2 3D1         (5)2(12.0)   784496.5 
    36     2    2S1 2P2 3D1         (5)1( 7.0)   788105.1 
    37     2    2S1 2P2 3D1         (3)1( 4.0)   789309.9 
    38     1    2S2 2P1 4S1         (3)1( 4.0)   795123.4 
    39     2    2S1 2P2 3D1         (3)3(10.0)   797218.3 
    40     1    2S2 2P1 4S1         (1)1( 1.0)   797873.6 
    41     2    2S1 2P2 3D1         (3)2( 7.0)   806834.9 
    42     1    2S2 2P1 4P1         (1)1( 1.0)   810282.9 
    43     1    2S2 2P1 4P1         (3)2( 7.0)   811569.9 
    44     1    2S2 2P1 4P1         (3)0( 1.0)   813498.1 
    45     1    2S2 2P1 4P1         (3)1( 4.0)   817657.9 
    46     1    2S2 2P1 4P1         (1)2( 2.0)   821142.8 
    47     1    2S2 2P1 4P1         (1)0( 0.0)   826763.5 
    48     1    2S2 2P1 4D1         (1)2( 2.0)   830005.5 
    49     1    2S2 2P1 4D1         (3)3(10.0)   830350.1 
    50     1    2S2 2P1 4D1         (3)2( 7.0)   832889.4 
    51     1    2S2 2P1 4D1         (3)1( 4.0)   833744.1 
    52     3    2S1 2P2 3P1         (3)2( 7.0)   833926.1 
    53     3    2S1 2P2 3P1         (3)1( 4.0)   837239.0 
    54     1    2S2 2P1 4F1         (1)3( 3.0)   837563.3 
    55     1    2S2 2P1 4F1         (3)3(10.0)   837648.1 
    56     1    2S2 2P1 4D1         (1)1( 1.0)   838168.1 
    57     1    2S2 2P1 4D1         (1)3( 3.0)   838233.0 
    58     1    2S2 2P1 4F1         (3)4(13.0)   838860.7 
    59     1    2S2 2P1 4F1         (1)4( 4.0)   839266.2 
    60     1    2S2 2P1 4F1         (3)2( 7.0)   839463.0 
