SEQ='B '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  24195433.6   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   114537.9 
     3          2S1 2P1             (1)1( 1.0)   226224.4*
     4          2P2                 (3)1( 4.0)   294287.6*
     5          2P2                 (1)2( 2.0)   329531.4*
     6          2P2                 (1)0( 0.0)   406862.2*

   LS RESOLVED TERM INDEXING            BWNR=  25455599.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P1             (2)1( 2.5)        0.0 
     2  9999    2S1 2P2             (4)1( 5.5)    96253.6 
     3  9999    2S1 2P2             (2)2( 4.5)   183497.2 
     4  9999    2S1 2P2             (2)0( 0.5)   233303.7 
     5  9999    2S1 2P2             (2)1( 2.5)   258371.3 
     6  9999    2P3                 (2)1( 2.5)   416068.7 
     7     1    2S2 3S1             (2)0( 0.5)   712632.0 
     8     1    2S2 3P1             (2)1( 2.5)   764644.1 
     9     1    2S2 3D1             (2)2( 4.5)   806024.1 
    10     2    2S1 2P1 3S1         (4)1( 5.5)   823915.4 
    11     2    2S1 2P1 3S1         (2)1( 2.5)   850065.0 
    12     2    2S1 2P1 3P1         (4)2( 9.5)   866416.1 
    13     2    2S1 2P1 3P1         (2)1( 2.5)   872567.2 
    14     2    2S1 2P1 3P1         (4)0( 1.5)   873055.0 
    15     2    2S1 2P1 3P1         (4)1( 5.5)   889418.4 
    16     2    2S1 2P1 3P1         (2)2( 4.5)   896650.9 
    17     2    2S1 2P1 3D1         (4)3(13.5)   909601.9 
    18     2    2S1 2P1 3P1         (2)0( 0.5)   910092.7 
    19     2    2S1 2P1 3D1         (4)2( 9.5)   918623.8 
    20     2    2S1 2P1 3D1         (2)2( 4.5)   919332.4 
    21     2    2S1 2P1 3D1         (4)1( 5.5)   922188.5 
    22     2    2S1 2P1 3D1         (2)3( 6.5)   940059.9 
    23     2    2S1 2P1 3D1         (2)1( 2.5)   943059.8 
    24     3    2S1 2P1 3S1         (2)1( 2.5)   944999.6 
    25     1    2S2 4S1             (2)0( 0.5)   971116.5 
    26     3    2S1 2P1 3P1         (2)2( 4.5)   990240.6 
    27     1    2S2 4P1             (2)1( 2.5)   990977.9 
    28     3    2S1 2P1 3P1         (2)1( 2.5)   997945.1 
    29     3    2S1 2P1 3P1         (2)0( 0.5)  1001367.5 
    30     1    2S2 4D1             (2)2( 4.5)  1006421.7 
    31     1    2S2 4F1             (2)3( 6.5)  1012795.0 
    32     3    2S1 2P1 3D1         (2)2( 4.5)  1031761.3 
    33     3    2S1 2P1 3D1         (2)3( 6.5)  1032127.9 
    34     3    2S1 2P1 3D1         (2)1( 2.5)  1040846.9 
    35     4    2P2 3P1             (2)1( 2.5)  1072550.1 
    36     1    2S2 5S1             (2)0( 0.5)  1081382.7 
    37     2    2S1 2P1 4S1         (4)1( 5.5)  1084684.9 
    38     1    2S2 5P1             (2)1( 2.5)  1091074.9 
    39     2    2S1 2P1 4S1         (2)1( 2.5)  1092962.4 
    40     1    2S2 5D1             (2)2( 4.5)  1098587.8 
    41     2    2S1 2P1 4P1         (4)2( 9.5)  1101747.6 
    42     1    2S2 5F1             (2)3( 6.5)  1101806.5 
    43     1    2S2 5G1             (2)4( 8.5)  1101857.6 
    44     2    2S1 2P1 4P1         (2)1( 2.5)  1103812.1 
    45     2    2S1 2P1 4P1         (4)0( 1.5)  1104286.1 
    46     2    2S1 2P1 4P1         (4)1( 5.5)  1108434.1 
    47     2    2S1 2P1 4P1         (2)2( 4.5)  1111727.6 
    48     2    2S1 2P1 4D1         (4)3(13.5)  1116786.3 
    49     2    2S1 2P1 4P1         (2)0( 0.5)  1117070.6 
    50     5    2P2 3P1             (2)1( 2.5)  1119754.2 
    51     2    2S1 2P1 4D1         (4)2( 9.5)  1120447.7 
    52     2    2S1 2P1 4D1         (2)2( 4.5)  1120946.9 
    53     2    2S1 2P1 4D1         (4)1( 5.5)  1121469.9 
    54     4    2P2 3D1             (2)2( 4.5)  1124948.9 
    55     2    2S1 2P1 4F1         (4)3(13.5)  1125729.3 
    56     2    2S1 2P1 4F1         (2)3( 6.5)  1125946.3 
    57     2    2S1 2P1 4F1         (4)4(17.5)  1127516.4 
    58     2    2S1 2P1 4F1         (2)4( 8.5)  1128480.2 
    59     2    2S1 2P1 4F1         (4)2( 9.5)  1128504.8 
    60     2    2S1 2P1 4D1         (2)3( 6.5)  1128640.1 
    61     2    2S1 2P1 4F1         (2)2( 4.5)  1129185.7 
