SEQ='N '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  26463393.1   NPRNTI= 4   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    31314.6 
     3          2S2 2P2             (1)0( 0.0)    59780.1 
     4          2S1 2P3             (5)0( 2.0)    78755.4 
     5          2S1 2P3             (3)2( 7.0)   177954.9*
     6          2S1 2P3             (3)1( 4.0)   209269.4*
     7          2S1 2P3             (1)2( 2.0)   282410.0*
     8          2S1 2P3             (3)0( 1.0)   287665.7*

   LS RESOLVED TERM INDEXING            BWNR=  27239297.0   NTRM= 418
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P3             (4)0( 1.5)        0.0 
     2  9999    2S2 2P3             (2)2( 4.5)    41261.3 
     3  9999    2S2 2P3             (2)1( 2.5)    62550.3 
     4  9999    2S1 2P4             (4)1( 5.5)   184358.8 
     5  9999    2S1 2P4             (2)2( 4.5)   254042.1 
     6  9999    2S1 2P4             (2)0( 0.5)   299583.1 
     7  9999    2S1 2P4             (2)1( 2.5)   320433.2 
     8     1    2S2 2P2 3S1         (4)1( 5.5)   471440.2 
     9  9999    2P5                 (2)1( 2.5)   479552.4 
    10     1    2S2 2P2 3S1         (2)1( 2.5)   482196.3 
    11     2    2S2 2P2 3S1         (2)2( 4.5)   506340.1 
    12     1    2S2 2P2 3P1         (2)0( 0.5)   508004.2 
    13     1    2S2 2P2 3P1         (4)2( 9.5)   512137.0 
    14     1    2S2 2P2 3P1         (4)1( 5.5)   514886.2 
    15     1    2S2 2P2 3P1         (2)2( 4.5)   524179.0 
    16     1    2S2 2P2 3P1         (2)1( 2.5)   529939.3 
    17     3    2S2 2P2 3S1         (2)0( 0.5)   535145.2 
    18     1    2S2 2P2 3P1         (4)0( 1.5)   539498.1 
    19     2    2S2 2P2 3P1         (2)3( 6.5)   547403.5 
    20     4    2S1 2P3 3S1         (6)0( 2.5)   547750.7 
    21     2    2S2 2P2 3P1         (2)1( 2.5)   566546.0 
    22     2    2S2 2P2 3P1         (2)2( 4.5)   566571.5 
    23     1    2S2 2P2 3D1         (4)3(13.5)   567803.9 
    24     1    2S2 2P2 3D1         (2)1( 2.5)   569774.9 
    25     1    2S2 2P2 3D1         (4)2( 9.5)   571340.7 
    26     1    2S2 2P2 3D1         (4)1( 5.5)   572346.1 
    27     4    2S1 2P3 3S1         (4)0( 1.5)   573385.6 
    28     1    2S2 2P2 3D1         (2)3( 6.5)   575070.3 
    29     1    2S2 2P2 3D1         (2)2( 4.5)   581830.7 
    30     3    2S2 2P2 3P1         (2)1( 2.5)   585675.8 
    31     4    2S1 2P3 3P1         (6)1( 8.5)   590966.7 
    32     2    2S2 2P2 3D1         (2)3( 6.5)   602459.3 
    33     2    2S2 2P2 3D1         (2)4( 8.5)   602851.4 
    34     2    2S2 2P2 3D1         (2)2( 4.5)   603861.0 
    35     2    2S2 2P2 3D1         (2)1( 2.5)   608582.3 
    36     2    2S2 2P2 3D1         (2)0( 0.5)   610898.3 
    37     4    2S1 2P3 3P1         (4)1( 5.5)   611327.8 
    38     1    2S2 2P2 4S1         (4)1( 5.5)   625704.1 
    39     1    2S2 2P2 4S1         (2)1( 2.5)   629067.6 
    40     3    2S2 2P2 3D1         (2)2( 4.5)   632676.6 
    41     1    2S2 2P2 4P1         (2)0( 0.5)   639320.7 
    42     1    2S2 2P2 4P1         (4)2( 9.5)   640777.5 
    43     1    2S2 2P2 4P1         (4)1( 5.5)   641747.9 
    44     4    2S1 2P3 3D1         (6)2(14.5)   646427.7 
    45     1    2S2 2P2 4P1         (2)2( 4.5)   646525.3 
    46     1    2S2 2P2 4P1         (2)1( 2.5)   648843.3 
    47     1    2S2 2P2 4P1         (4)0( 1.5)   648889.6 
    48     4    2S1 2P3 3D1         (4)2( 9.5)   657750.7 
    49     2    2S2 2P2 4S1         (2)2( 4.5)   658139.9 
    50     1    2S2 2P2 4D1         (4)3(13.5)   659961.2 
    51     1    2S2 2P2 4D1         (2)1( 2.5)   661124.9 
    52     1    2S2 2P2 4D1         (4)2( 9.5)   661247.3 
    53     1    2S2 2P2 4D1         (4)1( 5.5)   662202.2 
    54     1    2S2 2P2 4D1         (2)3( 6.5)   663643.5 
    55     1    2S2 2P2 4F1         (4)2( 9.5)   665554.8 
    56     1    2S2 2P2 4F1         (2)2( 4.5)   665565.4 
    57     1    2S2 2P2 4F1         (4)4(17.5)   665773.9 
    58     1    2S2 2P2 4F1         (2)4( 8.5)   665901.2 
