SEQ='NE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  28014381.4   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR=  28199803.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P6             (1)0( 0.0)        0.0 
     2     1    2S2 2P5 3S1         (3)1( 4.0)   147994.3 
     3     1    2S2 2P5 3S1         (1)1( 1.0)   149507.3 
     4     1    2S2 2P5 3P1         (3)0( 1.0)   160626.3 
     5     1    2S2 2P5 3P1         (3)2( 7.0)   161787.4 
     6     1    2S2 2P5 3P1         (1)2( 2.0)   162476.4 
     7     1    2S2 2P5 3P1         (1)1( 1.0)   162561.5 
     8     1    2S2 2P5 3P1         (3)1( 4.0)   162561.5 
     9     1    2S2 2P5 4S1         (3)1( 4.0)   170653.1 
    10     1    2S2 2P5 4S1         (1)1( 1.0)   171026.9 
    11     1    2S2 2P5 3D1         (3)1( 4.0)   173115.4 
    12     1    2S2 2P5 3D1         (1)1( 1.0)   173153.1 
    13     1    2S2 2P5 3D1         (3)3(10.0)   173179.3 
    14     1    2S2 2P5 3D1         (1)3( 3.0)   173185.0 
    15     1    2S2 2P5 3D1         (1)2( 2.0)   173294.4 
    16     1    2S2 2P5 3D1         (3)2( 7.0)   173294.4 
    17     1    2S2 2P5 4P1         (3)0( 1.0)   174182.5 
    18     1    2S2 2P5 3P1         (1)0( 0.0)   174300.9 
    19     1    2S2 2P5 4P1         (3)2( 7.0)   174530.6 
    20     1    2S2 2P5 4P1         (1)2( 2.0)   174750.5 
    21     1    2S2 2P5 4P1         (1)1( 1.0)   174762.6 
    22     1    2S2 2P5 4P1         (3)1( 4.0)   174762.6 
    23     1    2S2 2P5 5S1         (3)1( 4.0)   177534.3 
    24     1    2S2 2P5 5S1         (1)1( 1.0)   177680.4 
    25     1    2S2 2P5 4P1         (1)0( 0.0)   178445.1 
    26     1    2S2 2P5 4D1         (3)1( 4.0)   178511.5 
    27     1    2S2 2P5 4D1         (1)1( 1.0)   178533.5 
    28     1    2S2 2P5 4D1         (3)3(10.0)   178538.5 
    29     1    2S2 2P5 4D1         (1)3( 3.0)   178541.9 
    30     1    2S2 2P5 4F1         (3)2( 7.0)   178552.8 
    31     1    2S2 2P5 4F1         (1)2( 2.0)   178552.9 
    32     1    2S2 2P5 4F1         (3)4(13.0)   178559.0 
    33     1    2S2 2P5 4F1         (1)4( 4.0)   178559.0 
    34     1    2S2 2P5 4F1         (1)3( 3.0)   178576.8 
    35     1    2S2 2P5 4F1         (3)3(10.0)   178576.8 
    36     1    2S2 2P5 4D1         (1)2( 2.0)   178587.2 
    37     1    2S2 2P5 4D1         (3)2( 7.0)   178587.2 
    38     1    2S2 2P5 5P1         (3)0( 1.0)   178993.8 
    39     1    2S2 2P5 5P1         (3)2( 7.0)   179144.0 
    40     1    2S2 2P5 5P1         (1)2( 2.0)   179241.0 
    41     1    2S2 2P5 5P1         (1)1( 1.0)   179244.1 
    42     1    2S2 2P5 5P1         (3)1( 4.0)   179244.1 
    43     1    2S2 2P5 6S1         (3)1( 4.0)   180520.6 
    44     1    2S2 2P5 6S1         (1)1( 1.0)   180592.3 
    45     1    2S2 2P5 5P1         (1)0( 0.0)   180857.7 
    46     1    2S2 2P5 5G1         (3)3(10.0)   180984.1 
    47     1    2S2 2P5 5G1         (1)3( 3.0)   180984.1 
    48     1    2S2 2P5 5G1         (3)4(13.0)   180984.1 
    49     1    2S2 2P5 5G1         (1)4( 4.0)   180984.1 
    50     1    2S2 2P5 5G1         (3)5(16.0)   180984.1 
    51     1    2S2 2P5 5G1         (1)5( 5.0)   180984.1 
    52     1    2S2 2P5 5D1         (3)1( 4.0)   181005.0 
    53     1    2S2 2P5 5D1         (1)1( 1.0)   181017.7 
    54     1    2S2 2P5 5D1         (3)3(10.0)   181018.8 
    55     1    2S2 2P5 5D1         (1)3( 3.0)   181020.8 
    56     1    2S2 2P5 5F1         (3)2( 7.0)   181027.1 
    57     1    2S2 2P5 5F1         (1)2( 2.0)   181027.2 
    58     1    2S2 2P5 5F1         (3)4(13.0)   181030.3 
    59     1    2S2 2P5 5F1         (1)4( 4.0)   181030.3 
    60     1    2S2 2P5 5F1         (1)3( 3.0)   181039.4 
    61     1    2S2 2P5 5F1         (3)3(10.0)   181039.4 
    62     1    2S2 2P5 5D1         (1)2( 2.0)   181043.8 
    63     1    2S2 2P5 5D1         (3)2( 7.0)   181043.8 
    64     1    2S2 2P5 6P1         (3)0( 1.0)   181260.3 
