SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2                 (1)0( 0.0)        0.0 
     2  9999    2S1 2P1             (3)1( 4.0)   114537.9 
     3  9999    2S1 2P1             (1)1( 1.0)   226224.4 
     4  9999    2P2                 (3)1( 4.0)   294287.6 
     5  9999    2P2                 (1)2( 2.0)   329531.4 
     6  9999    2P2                 (1)0( 0.0)   406862.2 
     7     1    2S1 3S1             (3)0( 1.0)   977282.0 
     8     1    2S1 3S1             (1)0( 0.0)  1005590.7 
     9     1    2S1 3P1             (3)1( 4.0)  1028223.7 
    10     1    2S1 3P1             (1)1( 1.0)  1036378.2 
    11     1    2S1 3D1             (3)2( 7.0)  1054232.4 
    12     1    2S1 3D1             (1)2( 2.0)  1071631.9 
    13     2    2P1 3S1             (3)1( 4.0)  1121167.6 
    14     2    2P1 3S1             (1)1( 1.0)  1132009.2 
    15     2    2P1 3P1             (1)1( 1.0)  1146065.0 
    16     2    2P1 3P1             (3)2( 7.0)  1151234.8 
    17     2    2P1 3P1             (3)0( 1.0)  1158989.6 
    18     2    2P1 3P1             (3)1( 4.0)  1175978.6 
    19     2    2P1 3D1             (1)2( 2.0)  1179621.8 
    20     2    2P1 3D1             (3)3(10.0)  1180813.0 
    21     2    2P1 3P1             (1)2( 2.0)  1189754.8 
    22     2    2P1 3D1             (3)2( 7.0)  1193732.8 
    23     2    2P1 3D1             (3)1( 4.0)  1197153.7 
    24     2    2P1 3P1             (1)0( 0.0)  1210419.0 
    25     2    2P1 3D1             (1)1( 1.0)  1217475.0 
    26     2    2P1 3D1             (1)3( 3.0)  1219074.9 
    27     1    2S1 4S1             (3)0( 1.0)  1295168.9 
    28     1    2S1 4S1             (1)0( 0.0)  1303943.1 
    29     1    2S1 4P1             (3)1( 4.0)  1314758.6 
    30     1    2S1 4P1             (1)1( 1.0)  1317533.4 
    31     1    2S1 4D1             (3)2( 7.0)  1324896.1 
    32     1    2S1 4F1             (3)3(10.0)  1330758.5 
    33     1    2S1 4D1             (1)2( 2.0)  1331038.4 
    34     1    2S1 4F1             (1)3( 3.0)  1331599.4 
    35     2    2P1 4S1             (3)1( 4.0)  1431061.0 
    36     1    2S1 5S1             (3)0( 1.0)  1434440.0 
    37     2    2P1 4S1             (1)1( 1.0)  1434692.4 
    38     1    2S1 5S1             (1)0( 0.0)  1438395.1 
    39     2    2P1 4P1             (1)1( 1.0)  1442489.1 
    40     1    2S1 5P1             (3)1( 4.0)  1444071.8 
    41     2    2P1 4P1             (3)2( 7.0)  1444524.0 
    42     1    2S1 5P1             (1)1( 1.0)  1445376.6 
    43     2    2P1 4P1             (3)0( 1.0)  1447576.4 
    44     1    2S1 5D1             (3)2( 7.0)  1449108.1 
    45     2    2P1 4P1             (3)1( 4.0)  1451646.5 
    46     1    2S1 5F1             (3)3(10.0)  1451940.7 
    47     1    2S1 5D1             (1)2( 2.0)  1451992.7 
    48     1    2S1 5G1             (3)4(13.0)  1452150.3 
    49     1    2S1 5G1             (1)4( 4.0)  1452150.3 
    50     1    2S1 5F1             (1)3( 3.0)  1452504.4 
    51     2    2P1 4D1             (1)2( 2.0)  1454799.9 
    52     2    2P1 4D1             (3)3(10.0)  1455170.7 
    53     2    2P1 4P1             (1)2( 2.0)  1456718.7 
    54     2    2P1 4D1             (3)2( 7.0)  1459846.4 
    55     2    2P1 4F1             (1)3( 3.0)  1460910.6 
    56     2    2P1 4D1             (3)1( 4.0)  1460984.0 
    57     2    2P1 4F1             (3)3(10.0)  1461203.7 
    58     2    2P1 4F1             (3)4(13.0)  1463532.7 
    59     2    2P1 4P1             (1)0( 0.0)  1464327.2 
    60     2    2P1 4F1             (1)4( 4.0)  1464929.1 
    61     2    2P1 4F1             (3)2( 7.0)  1464963.3 
    62     2    2P1 4F1             (1)2( 2.0)  1465720.2 
    63     2    2P1 4D1             (1)1( 1.0)  1468525.7 
    64     2    2P1 4D1             (1)3( 3.0)  1469030.6 
    65     1    2S1 6S1             (3)0( 1.0)  1507914.9 
    66     1    2S1 6S1             (1)0( 0.0)  1510054.4 
    67     1    2S1 6P1             (3)1( 4.0)  1513361.5 
    68     1    2S1 6P1             (1)1( 1.0)  1514084.0 
    69     1    2S1 6D1             (3)2( 7.0)  1516229.7 
