SEQ='O '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27239297.0   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    44495.0 
     3          2S2 2P3             (2)1( 2.5)    62597.4 

   LS RESOLVED TERM INDEXING            BWNR=  27737598.3   NTRM= 503
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P4             (3)1( 4.0)        0.0 
     2  9999    2S2 2P4             (1)2( 2.0)    25239.6 
     3  9999    2S2 2P4             (1)0( 0.0)    54868.7 
     4  9999    2S1 2P5             (3)1( 4.0)   204111.6 
     5  9999    2S1 2P5             (1)1( 1.0)   288609.4 
     6     1    2S2 2P3 3S1         (5)0( 2.0)   297279.1 
     7     1    2S2 2P3 3S1         (3)0( 1.0)   308421.4 
     8     1    2S2 2P3 3P1         (5)1( 7.0)   334198.2 
     9     2    2S2 2P3 3S1         (3)2( 7.0)   344559.7 
    10     1    2S2 2P3 3P1         (3)1( 4.0)   345958.2 
    11     2    2S2 2P3 3S1         (1)2( 2.0)   350130.8 
    12     3    2S2 2P3 3S1         (3)1( 4.0)   362832.6 
    13     3    2S2 2P3 3S1         (1)1( 1.0)   368403.7 
    14     2    2S2 2P3 3P1         (1)1( 1.0)   378517.0 
    15     2    2S2 2P3 3P1         (3)2( 7.0)   378825.9 
    16     2    2S2 2P3 3P1         (3)3(10.0)   380590.3 
    17     2    2S2 2P3 3P1         (1)3( 3.0)   382487.4 
    18     1    2S2 2P3 3D1         (5)2(12.0)   383483.6 
    19     1    2S2 2P3 3D1         (3)2( 7.0)   387096.9 
    20     2    2S2 2P3 3P1         (3)1( 4.0)   395864.3 
    21     3    2S2 2P3 3P1         (3)0( 1.0)   396743.6 
    22     3    2S2 2P3 3P1         (3)2( 7.0)   398622.8 
    23     2    2S2 2P3 3P1         (1)2( 2.0)   399324.3 
    24     3    2S2 2P3 3P1         (1)1( 1.0)   400902.9 
    25     1    2S2 2P3 4S1         (5)0( 2.0)   403997.0 
    26     1    2S2 2P3 4S1         (3)0( 1.0)   407342.5 
    27     3    2S2 2P3 3P1         (3)1( 4.0)   413408.6 
    28     1    2S2 2P3 4P1         (5)1( 7.0)   416800.8 
    29     1    2S2 2P3 4P1         (3)1( 4.0)   421712.5 
    30     3    2S2 2P3 3P1         (1)2( 2.0)   423525.3 
    31     2    2S2 2P3 3D1         (3)3(10.0)   427899.1 
    32     2    2S2 2P3 3D1         (1)0( 0.0)   427978.6 
    33     2    2S2 2P3 3D1         (3)4(13.0)   428513.9 
    34     2    2S2 2P3 3D1         (1)4( 4.0)   428870.7 
    35     2    2S2 2P3 3D1         (3)2( 7.0)   429266.1 
    36     2    2S2 2P3 3D1         (1)1( 1.0)   429271.8 
    37     2    2S2 2P3 3D1         (3)1( 4.0)   430315.1 
    38     2    2S2 2P3 3D1         (3)0( 1.0)   431418.5 
    39     2    2S2 2P3 3D1         (1)2( 2.0)   431626.5 
    40     2    2S2 2P3 3D1         (1)3( 3.0)   433069.9 
    41     1    2S2 2P3 4D1         (5)2(12.0)   433921.4 
    42     1    2S2 2P3 4D1         (3)2( 7.0)   435784.9 
    43     1    2S2 2P3 4F1         (5)3(17.0)   436523.9 
    44     1    2S2 2P3 4F1         (3)3(10.0)   436561.1 
    45     3    2S2 2P3 3P1         (1)0( 0.0)   440900.8 
    46     1    2S2 2P3 5S1         (5)0( 2.0)   443434.2 
    47     1    2S2 2P3 5S1         (3)0( 1.0)   444888.7 
    48     3    2S2 2P3 3D1         (3)3(10.0)   446693.3 
    49     3    2S2 2P3 3D1         (3)1( 4.0)   447132.0 
    50     3    2S2 2P3 3D1         (1)2( 2.0)   447749.9 
    51     3    2S2 2P3 3D1         (3)2( 7.0)   447996.2 
    52     3    2S2 2P3 3D1         (1)3( 3.0)   449030.5 
    53     1    2S2 2P3 5P1         (5)1( 7.0)   449325.5 
    54     2    2S2 2P3 4S1         (3)2( 7.0)   449328.4 
    55     2    2S2 2P3 4S1         (1)2( 2.0)   451001.2 
    56     1    2S2 2P3 5P1         (3)1( 4.0)   451688.0 
    57     3    2S2 2P3 3D1         (1)1( 1.0)   451985.9 
    58     1    2S2 2P3 5D1         (5)2(12.0)   457338.1 
    59     1    2S2 2P3 5D1         (3)2( 7.0)   458354.9 
    60     1    2S2 2P3 5G1         (5)4(22.0)   458590.1 
    61     1    2S2 2P3 5G1         (3)4(13.0)   458590.1 
    62     1    2S2 2P3 5F1         (5)3(17.0)   458756.2 
