SEQ='F '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27733664.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    28403.2 
     3          2S2 2P4             (1)0( 0.0)    55370.5 

   LS RESOLVED TERM INDEXING            BWNR=  28053719.0   NTRM= 338
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    2S2 2P5             (2)1( 2.5)        0.0 
     2     1    2S2 2P4 3S1         (4)1( 5.5)   210783.5 
     3  9999    2S1 2P6             (2)0( 0.5)   216182.7 
     4     1    2S2 2P4 3S1         (2)1( 2.5)   216296.9 
     5     1    2S2 2P4 3P1         (4)1( 5.5)   236282.6 
     6     1    2S2 2P4 3P1         (4)2( 9.5)   238651.0 
     7     2    2S2 2P4 3S1         (2)2( 4.5)   241024.5 
     8     1    2S2 2P4 3P1         (2)2( 4.5)   241181.1 
     9     1    2S2 2P4 3P1         (2)0( 0.5)   242203.6 
    10     1    2S2 2P4 3P1         (4)0( 1.5)   242203.6 
    11     1    2S2 2P4 3P1         (2)1( 2.5)   248946.0 
    12     2    2S2 2P4 3P1         (2)3( 6.5)   267005.8 
    13     3    2S2 2P4 3S1         (2)0( 0.5)   268136.5 
    14     1    2S2 2P4 3D1         (4)2( 9.5)   269680.0 
    15     2    2S2 2P4 3P1         (2)2( 4.5)   269732.0 
    16     1    2S2 2P4 3D1         (4)3(13.5)   270565.1 
    17     1    2S2 2P4 3D1         (2)2( 4.5)   270698.3 
    18     1    2S2 2P4 3D1         (2)3( 6.5)   270766.4 
    19     1    2S2 2P4 3D1         (4)1( 5.5)   271056.8 
    20     1    2S2 2P4 3D1         (2)1( 2.5)   271539.4 
    21     1    2S2 2P4 4S1         (4)1( 5.5)   272014.1 
    22     1    2S2 2P4 4S1         (2)1( 2.5)   273566.2 
    23     1    2S2 2P4 4P1         (4)1( 5.5)   280177.6 
    24     1    2S2 2P4 4P1         (4)2( 9.5)   280926.3 
    25     1    2S2 2P4 4P1         (2)2( 4.5)   281749.9 
    26     1    2S2 2P4 4P1         (2)0( 0.5)   282049.2 
    27     1    2S2 2P4 4P1         (4)0( 1.5)   282049.2 
    28     2    2S2 2P4 3P1         (2)1( 2.5)   282258.9 
    29     1    2S2 2P4 4P1         (2)1( 2.5)   285928.2 
    30     1    2S2 2P4 4D1         (4)2( 9.5)   291818.6 
    31     1    2S2 2P4 4D1         (4)3(13.5)   292191.9 
    32     1    2S2 2P4 4D1         (2)3( 6.5)   292303.4 
    33     1    2S2 2P4 4D1         (2)2( 4.5)   292382.1 
    34     1    2S2 2P4 4D1         (4)1( 5.5)   292399.3 
    35     1    2S2 2P4 4F1         (4)3(13.5)   292514.0 
    36     1    2S2 2P4 4F1         (2)3( 6.5)   292518.7 
    37     1    2S2 2P4 4F1         (4)4(17.5)   292649.0 
    38     1    2S2 2P4 4F1         (2)4( 8.5)   292650.2 
    39     1    2S2 2P4 4D1         (2)1( 2.5)   292667.6 
    40     1    2S2 2P4 4F1         (4)2( 9.5)   292696.2 
    41     1    2S2 2P4 4F1         (2)2( 4.5)   292698.8 
    42     1    2S2 2P4 5S1         (4)1( 5.5)   293009.4 
    43     1    2S2 2P4 5S1         (2)1( 2.5)   293659.9 
    44     1    2S2 2P4 5P1         (4)1( 5.5)   296616.3 
    45     1    2S2 2P4 5P1         (4)2( 9.5)   296948.8 
    46     1    2S2 2P4 5P1         (2)2( 4.5)   297320.2 
    47     1    2S2 2P4 5P1         (2)0( 0.5)   297447.7 
    48     1    2S2 2P4 5P1         (4)0( 1.5)   297447.7 
    49     3    2S2 2P4 3P1         (2)1( 2.5)   297993.7 
    50     2    2S2 2P4 3D1         (2)0( 0.5)   298050.1 
    51     2    2S2 2P4 3D1         (2)4( 8.5)   298479.0 
    52     2    2S2 2P4 3D1         (2)1( 2.5)   298583.6 
    53     2    2S2 2P4 3D1         (2)2( 4.5)   299282.9 
    54     1    2S2 2P4 5P1         (2)1( 2.5)   299371.4 
    55     2    2S2 2P4 3D1         (2)3( 6.5)   299592.2 
    56     2    2S2 2P4 4S1         (2)2( 4.5)   300934.6 
    57     1    2S2 2P4 5D1         (4)2( 9.5)   302058.1 
    58     1    2S2 2P4 5D1         (4)3(13.5)   302248.7 
    59     1    2S2 2P4 5D1         (2)3( 6.5)   302311.7 
    60     1    2S2 2P4 5D1         (4)1( 5.5)   302354.6 
    61     1    2S2 2P4 5G1         (4)3(13.5)   302368.0 
    62     1    2S2 2P4 5G1         (2)3( 6.5)   302368.0 
