X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
1.705500e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	2.170000e-18	0.000000e+00	0.000000e+00
1.800000e+01	8.250000e-18	0.000000e+00	0.000000e+00
1.850000e+01	1.711000e-17	0.000000e+00	0.000000e+00
1.900000e+01	2.597000e-17	0.000000e+00	0.000000e+00
2.000000e+01	4.345000e-17	0.000000e+00	0.000000e+00
2.500000e+01	1.183600e-16	0.000000e+00	0.000000e+00
3.000000e+01	1.697500e-16	0.000000e+00	0.000000e+00
4.000000e+01	2.244500e-16	0.000000e+00	0.000000e+00
5.000000e+01	2.642700e-16	0.000000e+00	0.000000e+00
6.000000e+01	2.727200e-16	0.000000e+00	0.000000e+00
7.000000e+01	2.729800e-16	0.000000e+00	0.000000e+00
8.000000e+01	2.693100e-16	0.000000e+00	0.000000e+00
9.000000e+01	2.636300e-16	0.000000e+00	0.000000e+00
1.000000e+02	2.569700e-16	0.000000e+00	0.000000e+00
1.200000e+02	2.427400e-16	0.000000e+00	0.000000e+00
1.400000e+02	2.288300e-16	0.000000e+00	0.000000e+00
1.650000e+02	2.128800e-16	0.000000e+00	0.000000e+00
1.800000e+02	2.041800e-16	0.000000e+00	0.000000e+00
2.000000e+02	1.935600e-16	0.000000e+00	0.000000e+00
2.500000e+02	1.712500e-16	0.000000e+00	0.000000e+00
3.000000e+02	1.536900e-16	0.000000e+00	0.000000e+00
4.000000e+02	1.279500e-16	0.000000e+00	0.000000e+00
5.000000e+02	1.100300e-16	0.000000e+00	0.000000e+00
6.000000e+02	9.680000e-17	0.000000e+00	0.000000e+00
7.000000e+02	8.661000e-17	0.000000e+00	0.000000e+00
8.000000e+02	7.850000e-17	0.000000e+00	0.000000e+00
9.000000e+02	7.188000e-17	0.000000e+00	0.000000e+00
1.000000e+03	6.637000e-17	0.000000e+00	0.000000e+00
1.500000e+03	4.845000e-17	0.000000e+00	0.000000e+00
2.000000e+03	3.851000e-17	0.000000e+00	0.000000e+00
3.000000e+03	2.768000e-17	0.000000e+00	0.000000e+00
4.000000e+03	2.180000e-17	0.000000e+00	0.000000e+00
5.000000e+03	1.809000e-17	0.000000e+00	0.000000e+00
