X = Electron energy (eV) 	Y = Cross section (cm2) 	Y Error Plus (cm2) 	Y Error Minus (cm2)
3.000000e+01	0.000001e-19	1.640200e-18	1.640200e-18
4.000000e+01	7.290000e-19	1.185000e-18	1.185000e-18
5.500000e+01	1.458000e-18	8.200000e-19	8.200000e-19
6.000000e+01	1.822000e-18	5.470000e-19	5.470000e-19
7.000000e+01	2.096000e-18	0.000000e+00	0.000000e+00
8.000000e+01	2.278000e-18	2.740000e-19	2.740000e-19
8.300000e+01	4.466000e-18	5.470000e-19	5.470000e-19
8.500000e+01	8.111000e-18	8.210000e-19	8.210000e-19
8.700000e+01	1.203000e-17	1.000000e-18	1.000000e-18
9.000000e+01	1.467000e-17	1.180000e-18	1.180000e-18
9.500000e+01	1.695000e-17	1.460000e-18	1.460000e-18
1.000000e+02	2.023000e-17	1.460000e-18	1.460000e-18
1.100000e+02	2.233000e-17	1.820000e-18	1.820000e-18
1.200000e+02	2.406000e-17	1.910000e-18	1.910000e-18
1.300000e+02	2.606000e-17	2.100000e-18	2.100000e-18
1.350000e+02	2.734000e-17	2.190000e-18	2.190000e-18
1.500000e+02	2.962000e-17	2.280000e-18	2.280000e-18
1.650000e+02	3.089000e-17	2.190000e-18	2.190000e-18
1.800000e+02	3.171000e-17	2.460000e-18	2.460000e-18
2.000000e+02	3.108000e-17	2.460000e-18	2.460000e-18
2.200000e+02	3.135000e-17	2.370000e-18	2.370000e-18
2.500000e+02	3.080000e-17	2.370000e-18	2.370000e-18
2.800000e+02	2.989000e-17	2.100000e-18	2.100000e-18
3.100000e+02	2.898000e-17	2.100000e-18	2.100000e-18
3.500000e+02	2.798000e-17	2.090000e-18	2.090000e-18
4.000000e+02	2.743000e-17	2.100000e-18	2.100000e-18
4.500000e+02	2.615000e-17	2.100000e-18	2.100000e-18
5.000000e+02	2.488000e-17	1.820000e-18	1.820000e-18
5.500000e+02	2.415000e-17	1.730000e-18	1.730000e-18
6.000000e+02	2.296000e-17	1.830000e-18	1.830000e-18
6.600000e+02	2.242000e-17	1.640000e-18	1.640000e-18
7.200000e+02	2.169000e-17	1.640000e-18	1.640000e-18
8.000000e+02	2.023000e-17	1.550000e-18	1.550000e-18
9.000000e+02	1.914000e-17	1.360000e-18	1.360000e-18
1.000000e+03	1.786000e-17	1.460000e-18	1.460000e-18
